Comment,Description,Designator,Footprint,LibRef,Quantity
"16.5 kOhms","RES SMD 16.5K OHM 0.1% 1/6W 0603","R78","RES 0603_1608","1-2176089-8","1"
"0 Ohms","0805 35 AMP JUMPER","R79","RES 0805_2012","JR0805X35E","1"
"100 Ohms","RES 100 OHM 0.5% 1/5W 0402","R81","RES 0402_1005","MCS0402PD1000DE500","1"
"STM32F030F4P6","Value-line Arm-based 32-bit MCU with up to 256 KB Flash, timers, ADC, communication interfaces, 2.4-3.6 V operation - TSSOP20 20-pin","U1","TSOP65P640X120-20N","STM32F030F4P6","1"
"BQ25731RSNR","I2C 1- to 5-Cell Buck-Boost Battery Charge Controller with USB-C PD 3.0 OTG Output","U2","QFN40P400X400X80_HS-33N","BQ25731RSNR","1"
"TPS25750DRJKR","USB, Type-C Controller PMIC 38-WQFN (4x6)","U3","IC_TPS25750DRJKR","TPS25750DRJKR","1"
"TVS2200DRVR","","U4","SON65P200X200X80-7N","TVS2200DRVR","1"
"CAT24C256WI-G","EEPROM Memory IC 256Kb (32K x 8) IÂ²C 1MHz 500ns 8-SOIC","U5","SOIC127P600X175-8N","CAT24C256WI-G","1"
"CSD87330Q3D","Synchronous Buck NexFET™ Power Block","U6, U8","Q3D","CSD87330Q3D","2"
"TPS51225RUKR","","U7","QFN40P300X300X80-21N","TPS51225RUKR","1"
"ESD122DMXR","2-channel ESD protection diode for USB Type-C and HDMI 2.0 3-X2SON -40 to 125","U9","IC_ESD122DMXR","ESD122DMXR","1"
"BQ34Z100PW-G1","","U10","SOP65P640X120-14N","BQ34Z100PW-G1","1"
